impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
oxide,safe,1024,0,0.766624,1.147462,2.801222
oxide,safe,1024,1,0.710112,0.762701,3.024148
oxide,safe,1024,2,0.711808,0.759207,3.016942
oxide,safe,1024,3,1.124928,1.191540,1.908997
oxide,safe,1024,4,0.768576,1.309114,2.794107
oxide,safe,1024,5,1.171936,1.245370,1.832424
oxide,safe,1024,6,0.765984,0.818654,2.803562
oxide,safe,1024,7,0.708544,0.760916,3.03084
oxide,safe,1024,8,0.711264,0.756861,3.01925
oxide,safe,1024,9,0.754816,0.810907,2.845043
oxide,unchecked,1024,0,0.329504,0.395841,6.517322
oxide,unchecked,1024,1,0.327936,0.491466,6.548484
oxide,unchecked,1024,2,0.327616,0.700070,6.55488
oxide,unchecked,1024,3,0.327296,0.502976,6.561289
oxide,unchecked,1024,4,0.331232,0.361615,6.483322
oxide,unchecked,1024,5,0.330016,0.364442,6.507211
oxide,unchecked,1024,6,0.331744,0.371675,6.473316
oxide,unchecked,1024,7,0.331008,0.375428,6.487709
oxide,unchecked,1024,8,0.327456,0.482150,6.558083
oxide,unchecked,1024,9,0.330848,0.372551,6.490847
oxide,safe,2048,0,7.230752,7.477391,2.375945
oxide,safe,2048,1,7.946688,8.373807,2.16189
oxide,safe,2048,2,8.376544,8.621667,2.05095
oxide,safe,2048,3,7.072,7.276718,2.42928
oxide,safe,2048,4,7.020032,7.155076,2.447264
oxide,safe,2048,5,7.095712,7.226331,2.421162
oxide,safe,2048,6,6.975552,7.113930,2.462869
oxide,safe,2048,7,7.252032,7.424740,2.368973
oxide,safe,2048,8,7.146016,7.394290,2.404118
oxide,safe,2048,9,6.944672,7.273055,2.47382
oxide,unchecked,2048,0,2.97088,3.694469,5.782754
oxide,unchecked,2048,1,3.34352,3.571167,5.138258
oxide,unchecked,2048,2,4.157088,4.297709,4.132669
oxide,unchecked,2048,3,2.398528,2.513776,7.162672
oxide,unchecked,2048,4,3.637056,4.023083,4.723565
oxide,unchecked,2048,5,2.688768,2.835435,6.389495
oxide,unchecked,2048,6,3.693792,3.869562,4.651011
oxide,unchecked,2048,7,2.80896,2.995284,6.116096
oxide,unchecked,2048,8,3.68544,3.817176,4.661552
oxide,unchecked,2048,9,3.491552,5.707762,4.92041
oxide,safe,4096,0,65.45005,65.869260,2.099906
oxide,safe,4096,1,63.791714,64.202720,2.154495
oxide,safe,4096,2,69.649666,70.130491,1.973289
oxide,safe,4096,3,70.394562,70.841088,1.952409
oxide,safe,4096,4,68.296768,68.823795,2.012379
oxide,safe,4096,5,67.668381,68.141459,2.031066
oxide,safe,4096,6,66.775711,67.212851,2.058218
oxide,safe,4096,7,69.385437,69.842289,1.980804
oxide,safe,4096,8,69.789085,70.471213,1.969347
oxide,safe,4096,9,66.77475,67.263575,2.058247
oxide,unchecked,4096,0,24.558529,24.821059,5.596384
oxide,unchecked,4096,1,24.684288,24.903482,5.567872
oxide,unchecked,4096,2,25.476288,25.708030,5.394779
oxide,unchecked,4096,3,23.892769,24.110068,5.752324
oxide,unchecked,4096,4,24.91312,25.148568,5.51673
oxide,unchecked,4096,5,27.699327,27.943673,4.961816
oxide,unchecked,4096,6,28.733824,29.000133,4.783177
oxide,unchecked,4096,7,31.45536,39.862782,4.369333
oxide,unchecked,4096,8,36.01709,38.137238,3.815937
oxide,unchecked,4096,9,32.850048,33.553602,4.183828
cuda-matmul,matmul,1024,0,0.31552,,6.806173
cuda-matmul,matmul,1024,1,0.309408,,6.940621
cuda-matmul,matmul,1024,2,0.308928,,6.951405
cuda-matmul,matmul,1024,3,0.310176,,6.923436
cuda-matmul,matmul,1024,4,0.31024,,6.922008
cuda-matmul,matmul,1024,5,0.311136,,6.902074
cuda-matmul,matmul,1024,6,0.31216,,6.879433
cuda-matmul,matmul,1024,7,0.324704,,6.613666
cuda-matmul,matmul,1024,8,0.31264,,6.86887
